legacy_item_num,legacy_desc,uom_cd,status,org,unit_cost,start_date,item_class
ITEM-001,Industrial Bearing 6203 ZZ,ea,A,M1,12.50,01/15/2024,COMPONENTS
ITEM-002,Hex Bolt M8x20mm,EA,A,M1,0.45,01/15/2024,FASTENERS
ITEM-003,Stainless Steel Plate 4x8,sq ft,A,M2,87.00,02/01/2024,RAW MATERIALS
ITEM-004,Conveyor Belt 24in x 50ft,ft,I,M1,4.75,03/12/2024,COMPONENTS
ITEM-005,Hydraulic Pump 5HP,each,A,M1,1250.00,02/22/2024,EQUIPMENT
ITEM-006,Gasket Rubber 2in,EA,A,M2,1.25,01/30/2024,COMPONENTS
ITEM-007,Motor 3-Phase 10HP,each,A,M1,875.00,03/05/2024,EQUIPMENT
ITEM-008,Wire Rope 0.5in,ft,A,M2,3.50,02/14/2024,RAW MATERIALS
ITEM-009,Safety Helmet White,EA,A,M3,18.00,01/20/2024,SAFETY
ITEM-010,Industrial Lubricant 5gal,gal,I,M3,42.00,12/15/2023,CONSUMABLES
ITEM-011,Pressure Gauge 0-100psi,EA,A,M1,67.50,03/18/2024,COMPONENTS
ITEM-012,Steel Pipe 2in x 10ft,ft,A,M2,28.00,02/05/2024,RAW MATERIALS
ITEM-013,O-Ring Set Assorted,box,A,M1,15.00,01/25/2024,COMPONENTS
ITEM-014,Welding Rod 1/8 E6013,lb,A,M2,4.20,02/18/2024,CONSUMABLES
ITEM-015,Ball Valve 1in Brass,each,A,M1,32.50,03/02/2024,COMPONENTS
ITEM-016,Gear Set Helical M3,EA,I,M1,156.00,01/12/2024,COMPONENTS
ITEM-017,Bearing Grease NLGI-2,kg,A,M3,12.00,02/28/2024,CONSUMABLES
ITEM-018,V-Belt B-52,EA,A,M1,18.50,03/15/2024,COMPONENTS
ITEM-019,Control Relay 24VDC,EA,A,M1,45.00,01/18/2024,ELECTRICAL
ITEM-020,Heat Exchanger Plate,EA,A,M2,890.00,03/22/2024,EQUIPMENT
